Feature,LR Coefficient
ATSC2d,0.641
NsNH3,0.446
ATSC4d,0.408
Mor20se,0.406
fMF,0.383
AATSC1p,0.368
GATS3i,0.351
nHBAcc,0.345
GATS4d,0.311
MATS8dv,0.282
GATS1s,0.277
Mor23,0.267
Mor08p,0.263
C1SP3,0.252
NdssC,0.231
MATS3are,0.231
GATS1c,0.226
PEOE_VSA12,0.222
Mor09v,0.214
AATSC1c,0.214
BCUTpe-1l,0.213
AATS7v,0.212
Mor31v,0.19
ATSC7dv,0.184
SsOH,0.179
SssNH2,0.178
PEOE_VSA8,0.177
AATSC2d,0.177
SaaaC,0.174
ETA_dEpsilon_B,0.17
GATS8dv,0.169
MATS4i,0.169
MINaaCH,0.167
Lipinski,0.166
Mor18m,0.166
Mor11se,0.164
RASA,0.161
MATS2se,0.16
SaasN,0.159
Mor28m,0.158
MPC10,0.146
GATS2i,0.145
JGI5,0.142
n3AHRing,0.139
ATSC7v,0.139
NaaNH,0.131
n9FAHRing,0.129
ATSC4are,0.129
SaaO,0.128
MATS2pe,0.126
C4SP3,0.122
JGI3,0.121
GATS1se,0.12
MDEC-33,0.111
GATS7are,0.109
JGI4,0.103
Mor17p,0.102
MATS3se,0.101
ATSC5are,0.101
nSpiro,0.1
AATSC7p,0.1
ATSC6m,0.098
Mor06p,0.097
Mor27v,0.096
NsssdAs,0.094
ATSC8m,0.094
Mor18p,0.093
GATS3c,0.093
AATS6d,0.092
ATSC5v,0.09
GATS6c,0.088
VR3_A,0.088
GATS6d,0.085
AXp-3d,0.082
BCUTc-1h,0.082
ATSC8d,0.081
AATSC8i,0.081
GATS5s,0.077
GATS5c,0.073
PEOE_VSA11,0.073
n10FHRing,0.071
Xch-7dv,0.07
ATSC5m,0.069
EState_VSA4,0.069
MATS4se,0.068
GATS2s,0.068
MINdO,0.064
GATS3p,0.064
GATS4p,0.062
SlogP_VSA4,0.062
Mor29p,0.061
MATS7s,0.059
SlogP_VSA6,0.057
PNSA3,0.057
Mor20,0.056
MATS8c,0.056
GATS5Z,0.055
GATS4c,0.047
ATSC4i,0.047
AATS6dv,0.047
n4aRing,0.045
ATSC1m,0.044
AATS8v,0.04
CIC4,0.039
GATS3m,0.038
SsssB,0.034
n10FaHRing,0.032
n9HRing,0.032
GATS6Z,0.031
JGI9,0.031
AETA_beta_ns_d,0.031
ATSC4se,0.031
nG12FaRing,0.03
ATSC7s,0.029
n5AHRing,0.028
SaasC,0.028
NsBr,0.027
Mor06,0.026
MATS7d,0.025
MATS5i,0.024
ATSC1p,0.022
n9AHRing,0.022
AATSC2m,0.021
ATSC6Z,0.021
ATSC7d,0.021
ATSC8dv,0.018
AATSC1m,0.017
n8FaRing,0.016
n3HRing,0.015
GATS8d,0.011
n11FAHRing,0.011
Mor26m,0.011
BCUTs-1h,0.01
MINaasC,0.009
SssNH,0.009
AATS5i,0.009
SdS,0.008
AXp-5dv,0.008
n8FaHRing,0.007
AATSC5are,0.006
AATSC5c,0.006
