Feature,LR Coefficient
SsNH2,0.671
SdNH,0.49
n10FAHRing,0.327
ATSC2are,0.327
NaasC,0.282
AETA_beta_ns_d,0.252
CIC3,0.249
C2SP3,0.211
SaaNH,0.193
StN,0.188
ATSC3d,0.182
SssNH2,0.169
nHBDon,0.167
SssssC,0.158
GATS2s,0.157
ATSC6are,0.157
CIC5,0.153
Mor24,0.149
Mor26se,0.144
GGI6,0.133
Mor12se,0.128
CIC2,0.125
SssssN,0.118
Mor21,0.114
ATSC4pe,0.113
Mor21se,0.108
SsssNH,0.105
Mor24se,0.1
GGI4,0.097
n11FHRing,0.097
n10FARing,0.095
SdO,0.095
GATS8s,0.093
Mor09p,0.091
ATSC5se,0.09
ATSC7pe,0.081
Mor10m,0.08
Mor18,0.078
MDEC-13,0.071
AATS8d,0.07
ATSC5are,0.07
SsSnH3,0.068
AATS0s,0.067
SaaaC,0.067
Mor10v,0.067
AATS7dv,0.058
SdssS,0.058
Mor10,0.056
ATSC3are,0.053
Mor29m,0.052
C3SP2,0.051
ATSC2s,0.05
TopoShapeIndex,0.048
GhoseFilter,0.047
AATSC3m,0.047
nAromAtom,0.046
SpAbs_A,0.045
Mor15se,0.042
NtCH,0.042
PEOE_VSA13,0.04
Mor32se,0.038
PEOE_VSA12,0.037
GATS8are,0.037
ATSC3pe,0.037
ATSC4are,0.035
GGI5,0.033
Mor32p,0.033
Mor07,0.031
Mor26,0.03
SsssN,0.027
Mor09se,0.027
AATS7d,0.026
n3AHRing,0.026
Mor32,0.026
AATS4dv,0.026
AATS8dv,0.026
GATS8pe,0.025
AATSC7v,0.025
GATS1pe,0.025
AATS2dv,0.025
Mor07p,0.023
Xp-6dv,0.023
ATSC6pe,0.023
VSA_EState1,0.022
Radius,0.022
ATSC8d,0.022
AATSC2m,0.022
AATSC3v,0.022
ATSC5d,0.02
PEOE_VSA9,0.019
SlogP_VSA5,0.019
ATSC0p,0.018
GeomShapeIndex,0.018
SRW08,0.018
Mor19,0.018
piPC7,0.018
Mor04,0.017
ECIndex,0.017
VSA_EState9,0.017
MDEN-22,0.017
ZMIC4,0.016
SRW10,0.015
PEOE_VSA11,0.014
ATSC5i,0.014
PNSA5,0.014
ZMIC5,0.013
AATS3dv,0.013
piPC5,0.013
ATSC2i,0.013
GeomRadius,0.012
