,feature,median_value
0,ABC,21.22978246
1,ABCGG,16.55071908
2,nAcid,0.0
3,nBase,1.0
4,SpAbs_A,35.2067757
5,SpMax_A,2.461490352
6,SpDiam_A,4.858394143
7,SpAD_A,35.2067757
8,SpMAD_A,1.295715656
9,LogEE_A,4.236778694
10,VE1_A,4.225860733
11,VE2_A,0.156667255
12,VE3_A,2.437879614
13,VR1_A,344.1014515
14,VR2_A,12.1508938
15,VR3_A,6.8762479915
16,nAromAtom,15.0
17,nAromBond,16.0
18,nAtom,50.0
19,nHeavyAtom,27.0
20,nSpiro,0.0
21,nBridgehead,0.0
22,nHetero,7.0
23,nH,23.0
24,nB,0.0
25,nC,20.0
26,nN,3.0
27,nO,2.0
28,nS,0.0
29,nP,0.0
30,nF,0.0
31,nCl,0.0
32,nBr,0.0
33,nI,0.0
34,nX,0.0
35,ATS0dv,362.4444444
36,ATS1dv,360.1111111
37,ATS2dv,524.0
38,ATS3dv,507.0
39,ATS4dv,466.0
40,ATS5dv,421.0
41,ATS6dv,376.6666667
42,ATS7dv,326.0
43,ATS8dv,275.3333333
44,ATS0d,167.0
45,ATS1d,212.0
46,ATS2d,339.0
47,ATS3d,381.0
48,ATS4d,373.0
49,ATS5d,348.0
50,ATS6d,324.0
51,ATS7d,293.0
52,ATS8d,256.0
53,ATS0s,207.6060528
54,ATS1s,157.3539095
55,ATS2s,277.75
56,ATS3s,340.9027778
57,ATS4s,374.4444444
58,ATS5s,355.22839505
59,ATS6s,333.11574075
60,ATS7s,305.9061214
61,ATS8s,273.6234568
62,ATS0Z,1284.0
63,ATS1Z,1387.0
64,ATS2Z,2053.0
65,ATS3Z,2258.0
66,ATS4Z,2178.0
67,ATS5Z,2020.0
68,ATS6Z,1879.0
69,ATS7Z,1697.0
70,ATS8Z,1480.0
71,ATS0m,5117.498859
72,ATS1m,5278.702379
73,ATS2m,7715.3466805
74,ATS3m,8251.0577715
75,ATS4m,7776.729059499999
76,ATS5m,7195.51658
77,ATS6m,6677.1940885
78,ATS7m,5986.0471875
79,ATS8m,5186.141938000001
80,ATS0v,11066.58438
81,ATS1v,14052.87385
82,ATS2v,20757.049675
83,ATS3v,23403.773175
84,ATS4v,22790.32176
85,ATS5v,21583.439335000003
86,ATS6v,20185.72099
87,ATS7v,18306.42937
88,ATS8v,16033.844635
89,ATS0se,388.043508
90,ATS1se,413.277808
91,ATS2se,727.268746
92,ATS3se,946.199036
93,ATS4se,1023.619518
94,ATS5se,980.875372
95,ATS6se,924.819202
96,ATS7se,860.2842860000001
97,ATS8se,777.68734
98,ATS0pe,315.0082
99,ATS1pe,345.6771
100,ATS2pe,599.6328
101,ATS3pe,769.41955
102,ATS4pe,825.7613
103,ATS5pe,789.7835
104,ATS6pe,744.9851
105,ATS7pe,690.96935
106,ATS8pe,623.6301
107,ATS0are,311.3634
108,ATS1are,337.981
109,ATS2are,589.458
110,ATS3are,757.9728
111,ATS4are,814.8118
112,ATS5are,779.399
113,ATS6are,734.8094000000001
114,ATS7are,681.92085
115,ATS8are,615.3935
116,ATS0p,77.1569151
117,ATS1p,97.253662495
118,ATS2p,147.5304074
119,ATS3p,172.1330364
120,ATS4p,170.7446883
121,ATS5p,162.10929955
122,ATS6p,152.62516134999998
123,ATS7p,140.0367689
124,ATS8p,124.07467065
125,ATS0i,8264.456762
126,ATS1i,7837.290772
127,ATS2i,14567.131255
128,ATS3i,19574.083645
129,ATS4i,21509.55407
130,ATS5i,20790.948935
131,ATS6i,19602.02288
132,ATS7i,18332.87652
133,ATS8i,16704.495990000003
134,AATS0dv,7.250253474
135,AATS1dv,6.773558368
136,AATS2dv,5.591836735
137,AATS3dv,4.126811594
138,AATS4dv,3.529824561
139,AATS5dv,3.46039604
140,AATS6dv,3.318007663
141,AATS7dv,3.056106509
142,AATS8dv,2.835164835
143,AATS0d,3.325581395
144,AATS1d,4.0
145,AATS2d,3.636363636
146,AATS3d,3.110294118
147,AATS4d,2.788617886
148,AATS5d,2.71559633
149,AATS6d,2.694656489
150,AATS7d,2.605042017
151,AATS8d,2.522522523
152,AATS0s,4.100472813
153,AATS1s,3.000534188
154,AATS2s,2.977051561
155,AATS3s,2.8278430735
156,AATS4s,2.822782084
157,AATS5s,2.811177249
158,AATS6s,2.809887061
159,AATS7s,2.759859396
160,AATS8s,2.707729469
161,AATS0Z,24.73015873
162,AATS1Z,25.90909091
163,AATS2Z,22.00628931
164,AATS3Z,18.48333333
165,AATS4Z,16.4516129
166,AATS5Z,16.19587629
167,AATS6Z,16.03389831
168,AATS7Z,15.461351755
169,AATS8Z,14.85869565
170,AATS0m,98.189468095
171,AATS1m,98.77113025
172,AATS2m,82.48518050999999
173,AATS3m,67.318406995
174,AATS4m,58.773945735
175,AATS5m,57.861795595
176,AATS6m,56.97088702
177,AATS7m,54.63402766
178,AATS8m,52.19596718
179,AATS0v,220.8576555
180,AATS1v,265.7648571
181,AATS2v,223.110723
182,AATS3v,192.3483226
183,AATS4v,172.1801578
184,AATS5v,168.80080299999997
185,AATS6v,168.7861525
186,AATS7v,164.5370854
187,AATS8v,160.0326626
